HourUTC;HourDK;PriceArea;ConsumerType_DE35;TotalCon
2023-03-30 21:00;2023-03-30 23:00;DK1;111;68683
2023-03-30 21:00;2023-03-30 23:00;DK2;111;50715
2023-03-30 21:00;2023-03-30 23:00;DK1;112;2373
2023-03-30 21:00;2023-03-30 23:00;DK2;112;2464
2023-03-30 21:00;2023-03-30 23:00;DK1;119;24699
2023-03-30 21:00;2023-03-30 23:00;DK2;119;32652
2023-03-30 21:00;2023-03-30 23:00;DK1;121;250761
2023-03-30 21:00;2023-03-30 23:00;DK2;121;145562
2023-03-30 21:00;2023-03-30 23:00;DK1;122;54446
2023-03-30 21:00;2023-03-30 23:00;DK2;122;50718
2023-03-30 21:00;2023-03-30 23:00;DK1;123;25574
2023-03-30 21:00;2023-03-30 23:00;DK2;123;7431
2023-03-30 21:00;2023-03-30 23:00;DK1;130;35036
2023-03-30 21:00;2023-03-30 23:00;DK2;130;25095
2023-03-30 21:00;2023-03-30 23:00;DK1;211;103458
2023-03-30 21:00;2023-03-30 23:00;DK2;211;21504
2023-03-30 21:00;2023-03-30 23:00;DK1;212;17275
2023-03-30 21:00;2023-03-30 23:00;DK2;212;4155
2023-03-30 21:00;2023-03-30 23:00;DK1;215;1997
2023-03-30 21:00;2023-03-30 23:00;DK2;215;393
2023-03-30 21:00;2023-03-30 23:00;DK1;220;8155
2023-03-30 21:00;2023-03-30 23:00;DK2;220;1065
2023-03-30 21:00;2023-03-30 23:00;DK1;310;74946
2023-03-30 21:00;2023-03-30 23:00;DK2;310;17086
2023-03-30 21:00;2023-03-30 23:00;DK1;320;8086
2023-03-30 21:00;2023-03-30 23:00;DK2;320;1964
2023-03-30 21:00;2023-03-30 23:00;DK1;330;9716
2023-03-30 21:00;2023-03-30 23:00;DK2;330;1336
2023-03-30 21:00;2023-03-30 23:00;DK1;340;9239
2023-03-30 21:00;2023-03-30 23:00;DK2;340;3927
2023-03-30 21:00;2023-03-30 23:00;DK1;350;53862
2023-03-30 21:00;2023-03-30 23:00;DK2;350;26147
2023-03-30 21:00;2023-03-30 23:00;DK1;360;50235
2023-03-30 21:00;2023-03-30 23:00;DK2;360;11345
2023-03-30 21:00;2023-03-30 23:00;DK1;370;11891
2023-03-30 21:00;2023-03-30 23:00;DK2;370;892
2023-03-30 21:00;2023-03-30 23:00;DK1;381;10138
2023-03-30 21:00;2023-03-30 23:00;DK2;381;582
2023-03-30 21:00;2023-03-30 23:00;DK1;382;31188
2023-03-30 21:00;2023-03-30 23:00;DK2;382;33629
2023-03-30 21:00;2023-03-30 23:00;DK1;390;6934
2023-03-30 21:00;2023-03-30 23:00;DK2;390;1797
2023-03-30 21:00;2023-03-30 23:00;DK1;410;14127
2023-03-30 21:00;2023-03-30 23:00;DK2;410;7041
2023-03-30 21:00;2023-03-30 23:00;DK1;421;58557
2023-03-30 21:00;2023-03-30 23:00;DK2;421;32399
2023-03-30 21:00;2023-03-30 23:00;DK1;422;45011
2023-03-30 21:00;2023-03-30 23:00;DK2;422;16676
2023-03-30 21:00;2023-03-30 23:00;DK1;431;21553
2023-03-30 21:00;2023-03-30 23:00;DK2;431;12894
2023-03-30 21:00;2023-03-30 23:00;DK1;432;28177
2023-03-30 21:00;2023-03-30 23:00;DK2;432;34418
2023-03-30 21:00;2023-03-30 23:00;DK1;433;24139
2023-03-30 21:00;2023-03-30 23:00;DK2;433;40530
2023-03-30 21:00;2023-03-30 23:00;DK1;441;130436
2023-03-30 21:00;2023-03-30 23:00;DK2;441;54924
2023-03-30 21:00;2023-03-30 23:00;DK1;442;25653
2023-03-30 21:00;2023-03-30 23:00;DK2;442;8969
2023-03-30 21:00;2023-03-30 23:00;DK1;443;19852
2023-03-30 21:00;2023-03-30 23:00;DK2;443;26012
2023-03-30 21:00;2023-03-30 23:00;DK1;444;10259
2023-03-30 21:00;2023-03-30 23:00;DK2;444;17717
2023-03-30 21:00;2023-03-30 23:00;DK1;445;15835
2023-03-30 21:00;2023-03-30 23:00;DK2;445;12189
2023-03-30 21:00;2023-03-30 23:00;DK1;446;26097
2023-03-30 21:00;2023-03-30 23:00;DK2;446;22942
2023-03-30 21:00;2023-03-30 23:00;DK1;447;16363
2023-03-30 21:00;2023-03-30 23:00;DK2;447;17683
2023-03-30 21:00;2023-03-30 23:00;DK1;450;11626
2023-03-30 21:00;2023-03-30 23:00;DK2;450;6148
2023-03-30 21:00;2023-03-30 23:00;DK1;461;5441
2023-03-30 21:00;2023-03-30 23:00;DK2;461;23376
2023-03-30 21:00;2023-03-30 23:00;DK1;462;3847
2023-03-30 21:00;2023-03-30 23:00;DK2;462;14835
2023-03-30 21:00;2023-03-30 23:00;DK1;999;1168333
2023-03-30 21:00;2023-03-30 23:00;DK2;999;530804
2023-03-30 20:00;2023-03-30 22:00;DK1;111;78722
2023-03-30 20:00;2023-03-30 22:00;DK2;111;60112
2023-03-30 20:00;2023-03-30 22:00;DK1;112;2579
2023-03-30 20:00;2023-03-30 22:00;DK2;112;2640
2023-03-30 20:00;2023-03-30 22:00;DK1;119;27135
2023-03-30 20:00;2023-03-30 22:00;DK2;119;34770
2023-03-30 20:00;2023-03-30 22:00;DK1;121;284629
2023-03-30 20:00;2023-03-30 22:00;DK2;121;156092
2023-03-30 20:00;2023-03-30 22:00;DK1;122;58260
2023-03-30 20:00;2023-03-30 22:00;DK2;122;53439
2023-03-30 20:00;2023-03-30 22:00;DK1;123;26901
2023-03-30 20:00;2023-03-30 22:00;DK2;123;7504
2023-03-30 20:00;2023-03-30 22:00;DK1;130;36929
2023-03-30 20:00;2023-03-30 22:00;DK2;130;25846
2023-03-30 20:00;2023-03-30 22:00;DK1;211;108142
2023-03-30 20:00;2023-03-30 22:00;DK2;211;23039
2023-03-30 20:00;2023-03-30 22:00;DK1;212;18541
2023-03-30 20:00;2023-03-30 22:00;DK2;212;4347
2023-03-30 20:00;2023-03-30 22:00;DK1;215;1993
2023-03-30 20:00;2023-03-30 22:00;DK2;215;247
2023-03-30 20:00;2023-03-30 22:00;DK1;220;7869
2023-03-30 20:00;2023-03-30 22:00;DK2;220;1131
2023-03-30 20:00;2023-03-30 22:00;DK1;310;77419
2023-03-30 20:00;2023-03-30 22:00;DK2;310;17148
2023-03-30 20:00;2023-03-30 22:00;DK1;320;8399
2023-03-30 20:00;2023-03-30 22:00;DK2;320;2055
2023-03-30 20:00;2023-03-30 22:00;DK1;330;11882
2023-03-30 20:00;2023-03-30 22:00;DK2;330;1431
2023-03-30 20:00;2023-03-30 22:00;DK1;340;10375
2023-03-30 20:00;2023-03-30 22:00;DK2;340;4399
2023-03-30 20:00;2023-03-30 22:00;DK1;350;55280
2023-03-30 20:00;2023-03-30 22:00;DK2;350;26491
2023-03-30 20:00;2023-03-30 22:00;DK1;360;51932
2023-03-30 20:00;2023-03-30 22:00;DK2;360;11778
2023-03-30 20:00;2023-03-30 22:00;DK1;370;15243
2023-03-30 20:00;2023-03-30 22:00;DK2;370;963
2023-03-30 20:00;2023-03-30 22:00;DK1;381;10418
2023-03-30 20:00;2023-03-30 22:00;DK2;381;634
2023-03-30 20:00;2023-03-30 22:00;DK1;382;33896
2023-03-30 20:00;2023-03-30 22:00;DK2;382;34103
2023-03-30 20:00;2023-03-30 22:00;DK1;390;7295
2023-03-30 20:00;2023-03-30 22:00;DK2;390;1902
2023-03-30 20:00;2023-03-30 22:00;DK1;410;14753
2023-03-30 20:00;2023-03-30 22:00;DK2;410;7416
2023-03-30 20:00;2023-03-30 22:00;DK1;421;61945
2023-03-30 20:00;2023-03-30 22:00;DK2;421;35210
2023-03-30 20:00;2023-03-30 22:00;DK1;422;47262
2023-03-30 20:00;2023-03-30 22:00;DK2;422;17813
2023-03-30 20:00;2023-03-30 22:00;DK1;431;24025
2023-03-30 20:00;2023-03-30 22:00;DK2;431;15065
2023-03-30 20:00;2023-03-30 22:00;DK1;432;29496
2023-03-30 20:00;2023-03-30 22:00;DK2;432;36380
2023-03-30 20:00;2023-03-30 22:00;DK1;433;27282
2023-03-30 20:00;2023-03-30 22:00;DK2;433;44457
2023-03-30 20:00;2023-03-30 22:00;DK1;441;114241
2023-03-30 20:00;2023-03-30 22:00;DK2;441;55676
2023-03-30 20:00;2023-03-30 22:00;DK1;442;26272
2023-03-30 20:00;2023-03-30 22:00;DK2;442;8967
2023-03-30 20:00;2023-03-30 22:00;DK1;443;21611
2023-03-30 20:00;2023-03-30 22:00;DK2;443;27361
2023-03-30 20:00;2023-03-30 22:00;DK1;444;10774
2023-03-30 20:00;2023-03-30 22:00;DK2;444;18182
2023-03-30 20:00;2023-03-30 22:00;DK1;445;17508
2023-03-30 20:00;2023-03-30 22:00;DK2;445;13242
2023-03-30 20:00;2023-03-30 22:00;DK1;446;26782
2023-03-30 20:00;2023-03-30 22:00;DK2;446;23723
2023-03-30 20:00;2023-03-30 22:00;DK1;447;16934
2023-03-30 20:00;2023-03-30 22:00;DK2;447;18441
2023-03-30 20:00;2023-03-30 22:00;DK1;450;13375
2023-03-30 20:00;2023-03-30 22:00;DK2;450;6887
2023-03-30 20:00;2023-03-30 22:00;DK1;461;4947
2023-03-30 20:00;2023-03-30 22:00;DK2;461;22855
2023-03-30 20:00;2023-03-30 22:00;DK1;462;4059
2023-03-30 20:00;2023-03-30 22:00;DK2;462;15843
2023-03-30 20:00;2023-03-30 22:00;DK1;999;1307475
2023-03-30 20:00;2023-03-30 22:00;DK2;999;558516
2023-03-30 19:00;2023-03-30 21:00;DK1;111;89833
2023-03-30 19:00;2023-03-30 21:00;DK2;111;70019
2023-03-30 19:00;2023-03-30 21:00;DK1;112;2778
2023-03-30 19:00;2023-03-30 21:00;DK2;112;2872
2023-03-30 19:00;2023-03-30 21:00;DK1;119;30360
2023-03-30 19:00;2023-03-30 21:00;DK2;119;38221
2023-03-30 19:00;2023-03-30 21:00;DK1;121;317548
2023-03-30 19:00;2023-03-30 21:00;DK2;121;169967
2023-03-30 19:00;2023-03-30 21:00;DK1;122;61721
2023-03-30 19:00;2023-03-30 21:00;DK2;122;56595
2023-03-30 19:00;2023-03-30 21:00;DK1;123;28072
2023-03-30 19:00;2023-03-30 21:00;DK2;123;7817
2023-03-30 19:00;2023-03-30 21:00;DK1;130;38332
2023-03-30 19:00;2023-03-30 21:00;DK2;130;26479
2023-03-30 19:00;2023-03-30 21:00;DK1;211;113664
2023-03-30 19:00;2023-03-30 21:00;DK2;211;24785
2023-03-30 19:00;2023-03-30 21:00;DK1;212;19440
2023-03-30 19:00;2023-03-30 21:00;DK2;212;4520
2023-03-30 19:00;2023-03-30 21:00;DK1;215;2095
2023-03-30 19:00;2023-03-30 21:00;DK2;215;529
2023-03-30 19:00;2023-03-30 21:00;DK1;220;6224
2023-03-30 19:00;2023-03-30 21:00;DK2;220;1147
2023-03-30 19:00;2023-03-30 21:00;DK1;310;77295
2023-03-30 19:00;2023-03-30 21:00;DK2;310;18339
2023-03-30 19:00;2023-03-30 21:00;DK1;320;8526
2023-03-30 19:00;2023-03-30 21:00;DK2;320;2031
2023-03-30 19:00;2023-03-30 21:00;DK1;330;11742
2023-03-30 19:00;2023-03-30 21:00;DK2;330;1988
2023-03-30 19:00;2023-03-30 21:00;DK1;340;11573
2023-03-30 19:00;2023-03-30 21:00;DK2;340;4675
2023-03-30 19:00;2023-03-30 21:00;DK1;350;56068
2023-03-30 19:00;2023-03-30 21:00;DK2;350;26767
2023-03-30 19:00;2023-03-30 21:00;DK1;360;54926
2023-03-30 19:00;2023-03-30 21:00;DK2;360;12107
2023-03-30 19:00;2023-03-30 21:00;DK1;370;16452
2023-03-30 19:00;2023-03-30 21:00;DK2;370;1077
2023-03-30 19:00;2023-03-30 21:00;DK1;381;10746
2023-03-30 19:00;2023-03-30 21:00;DK2;381;667
2023-03-30 19:00;2023-03-30 21:00;DK1;382;35062
2023-03-30 19:00;2023-03-30 21:00;DK2;382;34909
2023-03-30 19:00;2023-03-30 21:00;DK1;390;7439
2023-03-30 19:00;2023-03-30 21:00;DK2;390;2027
2023-03-30 19:00;2023-03-30 21:00;DK1;410;15798
2023-03-30 19:00;2023-03-30 21:00;DK2;410;7602
2023-03-30 19:00;2023-03-30 21:00;DK1;421;70620
2023-03-30 19:00;2023-03-30 21:00;DK2;421;40543
2023-03-30 19:00;2023-03-30 21:00;DK1;422;48051
2023-03-30 19:00;2023-03-30 21:00;DK2;422;18979
2023-03-30 19:00;2023-03-30 21:00;DK1;431;28150
2023-03-30 19:00;2023-03-30 21:00;DK2;431;18244
2023-03-30 19:00;2023-03-30 21:00;DK1;432;31761
2023-03-30 19:00;2023-03-30 21:00;DK2;432;39048
2023-03-30 19:00;2023-03-30 21:00;DK1;433;32848
2023-03-30 19:00;2023-03-30 21:00;DK2;433;49733
2023-03-30 19:00;2023-03-30 21:00;DK1;441;120227
2023-03-30 19:00;2023-03-30 21:00;DK2;441;54259
2023-03-30 19:00;2023-03-30 21:00;DK1;442;26769
2023-03-30 19:00;2023-03-30 21:00;DK2;442;9112
2023-03-30 19:00;2023-03-30 21:00;DK1;443;24912
2023-03-30 19:00;2023-03-30 21:00;DK2;443;29152
2023-03-30 19:00;2023-03-30 21:00;DK1;444;11422
2023-03-30 19:00;2023-03-30 21:00;DK2;444;18956
2023-03-30 19:00;2023-03-30 21:00;DK1;445;19900
2023-03-30 19:00;2023-03-30 21:00;DK2;445;14946
2023-03-30 19:00;2023-03-30 21:00;DK1;446;27330
2023-03-30 19:00;2023-03-30 21:00;DK2;446;24344
2023-03-30 19:00;2023-03-30 21:00;DK1;447;17616
2023-03-30 19:00;2023-03-30 21:00;DK2;447;19523
2023-03-30 19:00;2023-03-30 21:00;DK1;450;13614
2023-03-30 19:00;2023-03-30 21:00;DK2;450;7215
2023-03-30 19:00;2023-03-30 21:00;DK1;461;5699
2023-03-30 19:00;2023-03-30 21:00;DK2;461;26649
2023-03-30 19:00;2023-03-30 21:00;DK1;462;4117
2023-03-30 19:00;2023-03-30 21:00;DK2;462;16437
2023-03-30 19:00;2023-03-30 21:00;DK1;999;1366276
2023-03-30 19:00;2023-03-30 21:00;DK2;999;610160
2023-03-30 18:00;2023-03-30 20:00;DK1;111;98276
2023-03-30 18:00;2023-03-30 20:00;DK2;111;77675
2023-03-30 18:00;2023-03-30 20:00;DK1;112;2904
2023-03-30 18:00;2023-03-30 20:00;DK2;112;2981
2023-03-30 18:00;2023-03-30 20:00;DK1;119;33100
2023-03-30 18:00;2023-03-30 20:00;DK2;119;41628
2023-03-30 18:00;2023-03-30 20:00;DK1;121;337805
2023-03-30 18:00;2023-03-30 20:00;DK2;121;177690
2023-03-30 18:00;2023-03-30 20:00;DK1;122;64185
2023-03-30 18:00;2023-03-30 20:00;DK2;122;58110
2023-03-30 18:00;2023-03-30 20:00;DK1;123;28672
2023-03-30 18:00;2023-03-30 20:00;DK2;123;7889
2023-03-30 18:00;2023-03-30 20:00;DK1;130;40248
2023-03-30 18:00;2023-03-30 20:00;DK2;130;27114
2023-03-30 18:00;2023-03-30 20:00;DK1;211;118701
2023-03-30 18:00;2023-03-30 20:00;DK2;211;25518
2023-03-30 18:00;2023-03-30 20:00;DK1;212;20241
2023-03-30 18:00;2023-03-30 20:00;DK2;212;4586
2023-03-30 18:00;2023-03-30 20:00;DK1;215;2126
2023-03-30 18:00;2023-03-30 20:00;DK2;215;424
2023-03-30 18:00;2023-03-30 20:00;DK1;220;6054
2023-03-30 18:00;2023-03-30 20:00;DK2;220;1194
2023-03-30 18:00;2023-03-30 20:00;DK1;310;77727
2023-03-30 18:00;2023-03-30 20:00;DK2;310;18871
2023-03-30 18:00;2023-03-30 20:00;DK1;320;8650
2023-03-30 18:00;2023-03-30 20:00;DK2;320;2103
2023-03-30 18:00;2023-03-30 20:00;DK1;330;12198
2023-03-30 18:00;2023-03-30 20:00;DK2;330;2482
2023-03-30 18:00;2023-03-30 20:00;DK1;340;11469
2023-03-30 18:00;2023-03-30 20:00;DK2;340;5001
2023-03-30 18:00;2023-03-30 20:00;DK1;350;56872
