HourUTC;HourDK;PriceArea;SpotPriceDKK;SpotPriceEUR
2023-03-30 11:00;2023-03-30 13:00;SYSTEM;506,399994;67,970001
2023-03-30 10:00;2023-03-30 12:00;DE;483,010010;64,830002
2023-03-30 10:00;2023-03-30 12:00;DK1;483,010010;64,830002
2023-03-30 10:00;2023-03-30 12:00;DK2;511,609985;68,669998
2023-03-30 10:00;2023-03-30 12:00;NO2;606,229980;81,370003
2023-03-30 10:00;2023-03-30 12:00;SE3;511,609985;68,669998
2023-03-30 10:00;2023-03-30 12:00;SE4;511,609985;68,669998
2023-03-30 10:00;2023-03-30 12:00;SYSTEM;573,010010;76,910004
2023-03-30 09:00;2023-03-30 11:00;DE;596,030029;80,000000
2023-03-30 09:00;2023-03-30 11:00;DK1;596,030029;80,000000
2023-03-30 09:00;2023-03-30 11:00;DK2;596,030029;80,000000
2023-03-30 09:00;2023-03-30 11:00;NO2;637,530029;85,570000
2023-03-30 09:00;2023-03-30 11:00;SE3;596,030029;80,000000
2023-03-30 09:00;2023-03-30 11:00;SE4;596,030029;80,000000
2023-03-30 09:00;2023-03-30 11:00;SYSTEM;618,969971;83,080002
2023-03-30 08:00;2023-03-30 10:00;DE;675,450012;90,660004
2023-03-30 08:00;2023-03-30 10:00;DK1;675,450012;90,660004
2023-03-30 08:00;2023-03-30 10:00;DK2;675,450012;90,660004
2023-03-30 08:00;2023-03-30 10:00;NO2;675,450012;90,660004
2023-03-30 08:00;2023-03-30 10:00;SE3;675,450012;90,660004
2023-03-30 08:00;2023-03-30 10:00;SE4;675,450012;90,660004
2023-03-30 08:00;2023-03-30 10:00;SYSTEM;670,010010;89,930000
2023-03-30 07:00;2023-03-30 09:00;DE;819,539978;110,000000
2023-03-30 07:00;2023-03-30 09:00;DK1;819,539978;110,000000
2023-03-30 07:00;2023-03-30 09:00;DK2;819,539978;110,000000
2023-03-30 07:00;2023-03-30 09:00;NO2;793,309998;106,480003
2023-03-30 07:00;2023-03-30 09:00;SE3;793,309998;106,480003
2023-03-30 07:00;2023-03-30 09:00;SE4;819,539978;110,000000
2023-03-30 07:00;2023-03-30 09:00;SYSTEM;786,229980;105,529999
2023-03-30 06:00;2023-03-30 08:00;DE;963,330017;129,300003
